Местное время в Вене / Швехате (аэропорт);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td;;;
19.04.2023 06:50;9.0;746.1;762.8;87;Ветер, дующий с северо-запада;5;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 420 м, рассеянная (40-50%) 1140 м, разорванная (60-90%) 1500 м;10.0 и более;7.0;;;
19.04.2023 06:20;9.0;746.1;762.8;94;Ветер, дующий с северо-запада;6;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 780 м, рассеянная (40-50%) 1020 м, разорванная (60-90%) 1320 м;9.0;8.0;;;
19.04.2023 05:50;10.0;746.1;762.8;82;Ветер, дующий с северо-запада;6;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 720 м, разорванная (60-90%) 840 м;10.0 и более;7.0;;;
19.04.2023 05:20;10.0;746.1;762.8;82;Ветер, дующий с северо-северо-запада;5;;;;Незначительная (10-30%) 660 м, разорванная (60-90%) 720 м;10.0 и более;7.0;;;
19.04.2023 04:50;10.0;746.1;762.8;76;Ветер, дующий с северо-запада;5;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 600 м, разорванная (60-90%) 720 м;10.0 и более;6.0;;;
19.04.2023 04:20;10.0;746.1;762.8;76;Ветер, дующий с северо-запада;4;;;;Разорванная (60-90%) 600 м;10.0 и более;6.0;;;
19.04.2023 03:50;9.0;746.8;763.5;82;Ветер, дующий с северо-запада;4;;;;Разорванная (60-90%) 660 м;10.0 и более;6.0;;;
19.04.2023 03:20;9.0;746.8;763.5;82;Ветер, дующий с северо-запада;5;;;;Незначительная (10-30%) 720 м;10.0 и более;6.0;;;
19.04.2023 02:50;9.0;746.8;763.5;82;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
19.04.2023 02:20;10.0;746.8;763.5;76;Ветер, дующий с северо-запада;6;;;;Нет существенной облачности;10.0 и более;6.0;;;
19.04.2023 01:50;10.0;746.8;763.5;76;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
19.04.2023 01:20;10.0;747.6;764.3;76;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
19.04.2023 00:50;10.0;747.6;764.3;82;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;7.0;;;
19.04.2023 00:20;10.0;747.6;764.3;82;Ветер, дующий с северо-северо-запада;5;;;;Нет существенной облачности;10.0 и более;7.0;;;
18.04.2023 23:50;10.0;747.6;764.3;82;Ветер, дующий с северо-северо-запада;5;;;;Нет существенной облачности;10.0 и более;7.0;;;
18.04.2023 23:20;11.0;747.7;764.3;77;Ветер, дующий с северо-северо-запада;5;;;;Нет существенной облачности;10.0 и более;7.0;;;
18.04.2023 22:50;11.0;747.7;764.3;77;Ветер, дующий с северо-северо-запада;5;;;;Нет существенной облачности;10.0 и более;7.0;;;
18.04.2023 22:20;11.0;747.7;764.3;77;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;7.0;;;
18.04.2023 21:50;11.0;748.4;765.0;77;Ветер, дующий с северо-запада;4;;;;Нет существенной облачности;10.0 и более;7.0;;;
18.04.2023 21:20;12.0;747.7;764.3;72;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;7.0;;;
18.04.2023 20:50;12.0;747.7;764.3;77;Ветер, дующий с северо-запада;6;;;;Нет существенной облачности;10.0 и более;8.0;;;
18.04.2023 20:20;12.0;747.7;764.3;77;Ветер, дующий с северо-запада;6;;;;Нет существенной облачности;10.0 и более;8.0;;;
18.04.2023 19:50;12.0;747.7;764.3;77;Ветер, дующий с западо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;8.0;;;
18.04.2023 19:20;12.0;747.7;764.3;77;Ветер, дующий с северо-запада;7;;Слабый(ая)(ые) дождь;;Нет существенной облачности;10.0 и более;8.0;;;
18.04.2023 18:50;12.0;747.7;764.3;82;Ветер, дующий с северо-запада;6;;;;Нет существенной облачности;10.0 и более;9.0;;;
18.04.2023 18:20;12.0;747.7;764.3;82;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1500 м;10.0 и более;9.0;;;
18.04.2023 17:50;13.0;747.0;763.5;77;Ветер, дующий с западо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;9.0;;;
18.04.2023 17:20;13.0;747.0;763.5;77;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 570 м;10.0 и более;9.0;;;
18.04.2023 16:50;13.0;747.8;764.3;77;Ветер, дующий с северо-запада;6;;;;Незначительная (10-30%) 600 м;10.0 и более;9.0;;;
18.04.2023 16:20;13.0;747.8;764.3;77;Ветер, дующий с северо-запада;6;;;;Незначительная (10-30%) 600 м, рассеянная (40-50%) 1080 м;10.0 и более;9.0;;;
18.04.2023 15:50;13.0;747.8;764.3;72;Ветер, дующий с северо-запада;6;;;;Незначительная (10-30%) 660 м;10.0 и более;8.0;;;
18.04.2023 15:20;13.0;747.8;764.3;72;Ветер, дующий с северо-запада;6;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 570 м, рассеянная (40-50%) 1020 м;10.0 и более;8.0;;;
18.04.2023 14:50;13.0;747.0;763.5;72;Ветер, дующий с северо-запада;6;;;;Незначительная (10-30%) 1020 м, разорванная (60-90%) 1140 м;10.0 и более;8.0;;;
18.04.2023 14:20;13.0;747.8;764.3;72;Ветер, дующий с северо-запада;6;;;;Незначительная (10-30%) 720 м, разорванная (60-90%) 1260 м;10.0 и более;8.0;;;
18.04.2023 13:50;14.0;747.8;764.3;72;Ветер, дующий с северо-запада;5;;;;Незначительная (10-30%) 720 м, рассеянная (40-50%) 960 м, разорванная (60-90%) 1500 м;10.0 и более;9.0;;;
18.04.2023 13:20;13.0;747.8;764.3;77;Ветер, дующий с северо-запада;5;;;;Незначительная (10-30%) 660 м, рассеянная (40-50%) 780 м, разорванная (60-90%) 1260 м;10.0 и более;9.0;;;
18.04.2023 12:50;12.0;747.7;764.3;77;Ветер, дующий с северо-северо-запада;5;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 660 м, рассеянная (40-50%) 840 м, разорванная (60-90%) 1380 м;10.0 и более;8.0;;;
18.04.2023 12:20;13.0;747.0;763.5;72;Ветер, дующий с северо-северо-запада;5;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 660 м, рассеянная (40-50%) 840 м, разорванная (60-90%) 1380 м;10.0 и более;8.0;;;
18.04.2023 11:50;13.0;747.8;764.3;72;Ветер, дующий с северо-северо-запада;5;;;;Незначительная (10-30%) 600 м, рассеянная (40-50%) 720 м, разорванная (60-90%) 900 м;10.0 и более;8.0;;;
18.04.2023 11:20;13.0;747.8;764.3;72;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 600 м, рассеянная (40-50%) 780 м, разорванная (60-90%) 900 м;10.0 и более;8.0;;;
18.04.2023 10:50;12.0;747.7;764.3;77;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 570 м, разорванная (60-90%) 780 м;10.0 и более;8.0;;;
18.04.2023 10:20;12.0;747.7;764.3;77;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 540 м, разорванная (60-90%) 660 м;10.0 и более;8.0;;;
18.04.2023 09:50;11.0;746.9;763.5;82;Ветер, дующий с севера;4;;;;Незначительная (10-30%) 510 м, разорванная (60-90%) 600 м;10.0 и более;8.0;;;
18.04.2023 09:20;11.0;746.9;763.5;82;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 510 м, разорванная (60-90%) 540 м;10.0 и более;8.0;;;
18.04.2023 08:50;11.0;746.9;763.5;82;Ветер, дующий с севера;6;;;;Незначительная (10-30%) 510 м, разорванная (60-90%) 540 м;10.0 и более;8.0;;;
18.04.2023 08:20;11.0;746.9;763.5;82;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 450 м, разорванная (60-90%) 540 м;10.0 и более;8.0;;;
18.04.2023 07:50;11.0;746.9;763.5;82;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 450 м, разорванная (60-90%) 540 м;10.0 и более;8.0;;;
18.04.2023 07:20;11.0;746.9;763.5;82;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 450 м, разорванная (60-90%) 480 м;10.0 и более;8.0;;;
18.04.2023 06:50;11.0;746.9;763.5;77;Ветер, дующий с севера;6;;;;Разорванная (60-90%) 510 м;10.0 и более;7.0;;;
18.04.2023 06:20;10.0;746.8;763.5;82;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 480 м, разорванная (60-90%) 510 м;10.0 и более;7.0;;;
18.04.2023 05:50;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Рассеянная (40-50%) 510 м, разорванная (60-90%) 540 м;10.0 и более;7.0;;;
18.04.2023 05:20;11.0;746.2;762.8;77;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 510 м, разорванная (60-90%) 540 м;10.0 и более;7.0;;;
18.04.2023 04:50;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Незначительная (10-30%) 540 м, разорванная (60-90%) 570 м;10.0 и более;7.0;;;
18.04.2023 04:20;11.0;746.2;762.8;77;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 540 м, сплошная (100%) 600 м;10.0 и более;7.0;;;
18.04.2023 03:50;11.0;746.2;762.8;77;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 540 м, сплошная (100%) 600 м;10.0 и более;7.0;;;
18.04.2023 03:20;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Разорванная (60-90%) 600 м;10.0 и более;7.0;;;
18.04.2023 02:50;11.0;746.2;762.8;77;Ветер, дующий с севера;5;;;;Разорванная (60-90%) 600 м;10.0 и более;7.0;;;
18.04.2023 02:20;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Разорванная (60-90%) 600 м;10.0 и более;7.0;;;
18.04.2023 01:50;11.0;746.2;762.8;77;Ветер, дующий с северо-северо-запада;6;;;;Разорванная (60-90%) 600 м;10.0 и более;7.0;;;
18.04.2023 01:20;11.0;746.2;762.8;77;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 630 м, разорванная (60-90%) 720 м;10.0 и более;7.0;;;
18.04.2023 00:50;11.0;746.2;762.8;77;Ветер, дующий с северо-северо-запада;5;;;;Незначительная (10-30%) 660 м, разорванная (60-90%) 720 м;10.0 и более;7.0;;;
18.04.2023 00:20;11.0;746.2;762.8;77;Ветер, дующий с северо-северо-запада;5;;;;Незначительная (10-30%) 660 м, разорванная (60-90%) 720 м;10.0 и более;7.0;;;
17.04.2023 23:50;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Незначительная (10-30%) 660 м, разорванная (60-90%) 720 м;10.0 и более;7.0;;;
17.04.2023 23:20;11.0;746.2;762.8;77;Ветер, дующий с северо-северо-запада;6;;;;Незначительная (10-30%) 660 м, рассеянная (40-50%) 720 м, разорванная (60-90%) 1140 м;10.0 и более;7.0;;;
17.04.2023 22:50;11.0;746.2;762.8;77;Ветер, дующий с северо-северо-запада;6;;;;Рассеянная (40-50%) 720 м;10.0 и более;7.0;;;
17.04.2023 22:20;11.0;746.2;762.8;72;Ветер, дующий с северо-северо-запада;6;;;;Незначительная (10-30%) 780 м;10.0 и более;6.0;;;
17.04.2023 21:50;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Незначительная (10-30%) 780 м;10.0 и более;7.0;;;
17.04.2023 21:20;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Незначительная (10-30%) 780 м;10.0 и более;7.0;;;
17.04.2023 20:50;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Незначительная (10-30%) 780 м;10.0 и более;7.0;;;
17.04.2023 20:20;11.0;746.2;762.8;77;Ветер, дующий с севера;6;;;;Нет существенной облачности;10.0 и более;7.0;;;
17.04.2023 19:50;12.0;746.3;762.8;72;Ветер, дующий с севера;6;;;;Нет существенной облачности;10.0 и более;7.0;;;
17.04.2023 19:20;13.0;746.3;762.8;67;Ветер, дующий с северо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;7.0;;;
17.04.2023 18:50;13.0;746.3;762.8;67;Ветер, дующий с севера;7;;;;Нет существенной облачности;10.0 и более;7.0;;;
17.04.2023 18:20;14.0;746.4;762.8;63;Ветер, дующий с севера;7;;;;Незначительная (10-30%) 1020 м;10.0 и более;7.0;;;
17.04.2023 17:50;14.0;745.6;762.0;63;Ветер, дующий с севера;6;;;;Нет существенной облачности;10.0 и более;7.0;;;
17.04.2023 17:20;15.0;745.6;762.0;59;Ветер, дующий с северо-северо-востока;8;;;;Незначительная (10-30%) 1080 м;10.0 и более;7.0;;;
17.04.2023 16:50;15.0;745.6;762.0;59;Ветер, дующий с севера;9;;;;Незначительная (10-30%) 1260 м;10.0 и более;7.0;;;
17.04.2023 16:20;16.0;745.7;762.0;55;Ветер, дующий с севера;7;;;;Незначительная (10-30%) 1380 м;10.0 и более;7.0;;;
17.04.2023 15:50;17.0;745.8;762.0;49;Ветер, дующий с севера;8;;;;Незначительная (10-30%) 1440 м, рассеянная (40-50%) 1500 м;10.0 и более;6.0;;;
17.04.2023 15:20;17.0;745.8;762.0;52;Ветер, дующий с севера;9;;;;Незначительная (10-30%) 1320 м, рассеянная (40-50%) 1500 м;10.0 и более;7.0;;;
17.04.2023 14:50;17.0;745.8;762.0;49;Ветер, дующий с севера;8;;;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
17.04.2023 14:20;17.0;745.8;762.0;49;Ветер, дующий с севера;7;;;;Незначительная (10-30%) 1320 м, рассеянная (40-50%) 1500 м;10.0 и более;6.0;;;
17.04.2023 13:50;17.0;745.8;762.0;52;Ветер, дующий с севера;7;;;;Незначительная (10-30%) 1140 м, разорванная (60-90%) 1380 м;10.0 и более;7.0;;;
17.04.2023 13:20;16.0;745.7;762.0;55;Ветер, дующий с севера;7;;;;Незначительная (10-30%) 1020 м, рассеянная (40-50%) 1320 м;10.0 и более;7.0;;;
17.04.2023 12:50;17.0;745.8;762.0;52;Ветер, дующий с северо-северо-запада;8;;;;Незначительная (10-30%) 960 м, рассеянная (40-50%) 1320 м;10.0 и более;7.0;;;
17.04.2023 12:20;16.0;745.7;762.0;59;Ветер, дующий с северо-северо-запада;7;;;;Незначительная (10-30%) 900 м, рассеянная (40-50%) 1020 м;10.0 и более;8.0;;;
17.04.2023 11:50;16.0;746.5;762.8;63;Ветер, дующий с северо-северо-запада;8;;;;Незначительная (10-30%) 780 м, рассеянная (40-50%) 900 м;10.0 и более;9.0;;;
17.04.2023 11:20;15.0;746.4;762.8;63;Ветер, дующий с северо-северо-запада;8;;;;Рассеянная (40-50%) 780 м;10.0 и более;8.0;;;
17.04.2023 10:50;14.0;746.4;762.8;67;Ветер, дующий с северо-северо-запада;7;;;;Незначительная (10-30%) 720 м, рассеянная (40-50%) 780 м;10.0 и более;8.0;;;
17.04.2023 10:20;14.0;747.1;763.5;63;Ветер, дующий с северо-северо-запада;7;;;;Незначительная (10-30%) 750 м;10.0 и более;7.0;;;
17.04.2023 09:50;13.0;747.0;763.5;67;Ветер, дующий с северо-северо-запада;7;;;;Незначительная (10-30%) 720 м;10.0 и более;7.0;;;
17.04.2023 09:20;13.0;747.0;763.5;67;Ветер, дующий с северо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;7.0;;;
17.04.2023 08:50;12.0;746.9;763.5;72;Ветер, дующий с северо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;7.0;;;
17.04.2023 08:20;11.0;746.9;763.5;72;Ветер, дующий с северо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 07:50;11.0;746.2;762.8;72;Ветер, дующий с северо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 07:20;10.0;746.1;762.8;76;Ветер, дующий с северо-запада;6;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 06:50;9.0;746.1;762.8;82;Ветер, дующий с северо-запада;6;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 06:20;9.0;746.1;762.8;82;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 05:50;8.0;746.0;762.8;87;Ветер, дующий с северо-запада;5;;;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
17.04.2023 05:20;8.0;746.0;762.8;87;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 04:50;8.0;746.0;762.8;87;Ветер, дующий с северо-запада;6;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 04:20;8.0;746.0;762.8;87;Ветер, дующий с северо-запада;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
17.04.2023 03:50;8.0;746.0;762.8;87;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 03:20;8.0;746.0;762.8;87;Ветер, дующий с северо-запада;4;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 02:50;8.0;746.0;762.8;87;Ветер, дующий с северо-запада;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 02:20;8.0;746.0;762.8;87;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 01:50;8.0;746.0;762.8;87;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 01:20;9.0;746.1;762.8;82;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 00:50;9.0;746.1;762.8;82;Ветер, дующий с западо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;6.0;;;
17.04.2023 00:20;9.0;746.1;762.8;82;Ветер, дующий с западо-северо-запада;7;;;;Незначительная (10-30%) 1380 м;10.0 и более;6.0;;;
16.04.2023 23:50;9.0;746.1;762.8;82;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;6.0;;;
16.04.2023 23:20;9.0;746.8;763.5;82;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
16.04.2023 22:50;9.0;746.8;763.5;82;Ветер, дующий с западо-северо-запада;5;;;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
16.04.2023 22:20;9.0;746.8;763.5;82;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;6.0;;;
16.04.2023 21:50;9.0;746.8;763.5;82;Ветер, дующий с западо-северо-запада;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
16.04.2023 21:20;9.0;746.8;763.5;82;Ветер, дующий с западо-северо-запада;5;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
16.04.2023 20:50;10.0;746.8;763.5;76;Ветер, дующий с западо-северо-запада;7;;;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
16.04.2023 20:20;10.0;746.8;763.5;76;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
16.04.2023 19:50;10.0;746.8;763.5;76;Ветер, дующий с западо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;6.0;;;
16.04.2023 19:20;10.0;746.8;763.5;76;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1080 м;10.0 и более;6.0;;;
16.04.2023 18:50;10.0;746.1;762.8;71;Ветер, дующий с северо-запада;4;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1440 м;10.0 и более;5.0;;;
16.04.2023 18:20;11.0;746.2;762.8;67;Ветер, дующий с северо-запада;4;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1500 м;10.0 и более;5.0;;;
16.04.2023 17:50;11.0;746.2;762.8;67;Ветер, дующий с северо-запада;3;;;;Сплошная (100%) 1500 м;10.0 и более;5.0;;;
16.04.2023 17:20;11.0;746.2;762.8;72;Ветер, дующий с северо-запада;4;;;;Незначительная (10-30%) 1440 м;10.0 и более;6.0;;;
16.04.2023 16:50;11.0;746.2;762.8;72;Ветер, дующий с северо-северо-запада;3;;;;Незначительная (10-30%) 1380 м;10.0 и более;6.0;;;
16.04.2023 16:20;11.0;746.2;762.8;72;Ветер, дующий с севера;3;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1380 м, разорванная (60-90%) 1500 м;10.0 и более;6.0;;;
16.04.2023 15:50;11.0;746.2;762.8;72;Ветер, дующий с северо-северо-запада;2;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1140 м, разорванная (60-90%) 1500 м;10.0 и более;6.0;;;
16.04.2023 15:20;11.0;746.2;762.8;67;Ветер, дующий с северо-северо-запада;3;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1440 м, сплошная (100%) 1500 м;10.0 и более;5.0;;;
16.04.2023 14:50;12.0;746.3;762.8;58;Ветер, дующий с севера;3;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1080 м, сплошная (100%) 1440 м;10.0 и более;4.0;;;
16.04.2023 14:20;12.0;746.3;762.8;58;Ветер, дующий с севера;4;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1080 м, рассеянная (40-50%) 1140 м, разорванная (60-90%) 1500 м;10.0 и более;4.0;;;
16.04.2023 13:50;12.0;746.3;762.8;58;Ветер, дующий с севера;3;;Слабый(ая)(ые) морось;;Незначительная (10-30%) 1020 м, разорванная (60-90%) 1260 м;10.0 и более;4.0;;;
16.04.2023 13:20;12.0;746.3;762.8;58;Ветер, дующий с севера;3;;;;Разорванная (60-90%) 1140 м;10.0 и более;4.0;;;
16.04.2023 12:50;11.0;746.2;762.8;62;Ветер, дующий с северо-северо-востока;4;;;;Незначительная (10-30%) 960 м, рассеянная (40-50%) 1140 м;10.0 и более;4.0;;;
16.04.2023 12:20;11.0;746.2;762.8;62;Ветер, дующий с севера;3;;;;Незначительная (10-30%) 900 м, рассеянная (40-50%) 1050 м;10.0 и более;4.0;;;
16.04.2023 11:50;11.0;746.2;762.8;62;Ветер, дующий с севера;3;;;;Незначительная (10-30%) 780 м, рассеянная (40-50%) 900 м;10.0 и более;4.0;;;
16.04.2023 11:20;11.0;746.2;762.8;62;Переменное направление;2;;;;Рассеянная (40-50%) 840 м;10.0 и более;4.0;;;
16.04.2023 10:50;10.0;746.1;762.8;67;Ветер, дующий с северо-северо-востока;2;;;;Рассеянная (40-50%) 900 м;10.0 и более;4.0;;;
16.04.2023 10:20;10.0;746.1;762.8;71;Ветер, дующий с севера;3;;;;Рассеянная (40-50%) 600 м;10.0 и более;5.0;;;
16.04.2023 09:50;9.0;746.1;762.8;76;Ветер, дующий с северо-северо-запада;3;;;;Незначительная (10-30%) 330 м, рассеянная (40-50%) 420 м;10.0 и более;5.0;;;
16.04.2023 09:20;8.0;746.0;762.8;87;Ветер, дующий с севера;2;;;;Незначительная (10-30%) 300 м, рассеянная (40-50%) 1050 м;10.0 и более;6.0;;;
16.04.2023 08:50;8.0;745.2;762.0;82;Ветер, дующий с северо-востока;2;;;;Незначительная (10-30%) 240 м, рассеянная (40-50%) 450 м;10.0 и более;5.0;;;
16.04.2023 08:20;7.0;745.2;762.0;87;Переменное направление;2;;;;Незначительная (10-30%) 330 м;10.0 и более;5.0;;;
16.04.2023 07:50;6.0;745.1;762.0;87;Переменное направление;1;;;;Незначительная (10-30%) 300 м;10.0 и более;4.0;;;
16.04.2023 07:20;6.0;745.1;762.0;87;Переменное направление;1;;;;Незначительная (10-30%) 360 м, рассеянная (40-50%) 1350 м;10.0 и более;4.0;;;
16.04.2023 06:50;5.0;744.3;761.2;93;Ветер, дующий с севера;2;;;;Незначительная (10-30%) 390 м, рассеянная (40-50%) 1350 м;10.0 и более;4.0;;;
16.04.2023 06:20;4.0;744.2;761.2;93;Переменное направление;1;;;;Рассеянная (40-50%) 420 м, разорванная (60-90%) 1260 м;10.0 и более;3.0;;;
16.04.2023 05:50;3.0;744.2;761.2;93;Переменное направление;1;;;;Разорванная (60-90%) 420 м;10.0 и более;2.0;;;
16.04.2023 05:20;3.0;744.2;761.2;87;Переменное направление;1;;Вблизи туман;;Незначительная (10-30%) 360 м, разорванная (60-90%) 450 м;10.0 и более;1.0;;;
16.04.2023 04:50;2.0;743.4;760.5;87;Переменное направление;1;;;;Незначительная (10-30%) 390 м;10.0 и более;0.0;;;
16.04.2023 04:20;3.0;743.5;760.5;87;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;1.0;;;
16.04.2023 03:50;4.0;743.5;760.5;87;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;2.0;;;
16.04.2023 03:20;4.0;743.5;760.5;87;Ветер, дующий с запада;1;;;;Незначительная (10-30%) 510 м;10.0 и более;2.0;;;
16.04.2023 02:50;4.0;743.5;760.5;87;Ветер, дующий с юго-юго-запада;2;;;;Незначительная (10-30%) 510 м, рассеянная (40-50%) 600 м;10.0 и более;2.0;;;
16.04.2023 02:20;4.0;743.5;760.5;87;Ветер, дующий с юга;1;;;;Незначительная (10-30%) 540 м, разорванная (60-90%) 960 м;10.0 и более;2.0;;;
16.04.2023 01:50;5.0;742.8;759.7;81;Ветер, дующий с запада;2;;;;Незначительная (10-30%) 540 м, рассеянная (40-50%) 780 м;10.0 и более;2.0;;;
16.04.2023 01:20;5.0;742.8;759.7;87;Ветер, дующий с западо-северо-запада;3;;;;Незначительная (10-30%) 660 м, рассеянная (40-50%) 780 м;10.0 и более;3.0;;;
16.04.2023 00:50;6.0;742.9;759.7;81;Ветер, дующий с западо-северо-запада;3;;;;Незначительная (10-30%) 900 м, рассеянная (40-50%) 1200 м;10.0 и более;3.0;;;
16.04.2023 00:20;6.0;742.9;759.7;81;Ветер, дующий с северо-запада;2;;;;Незначительная (10-30%) 960 м, разорванная (60-90%) 1140 м;10.0 и более;3.0;;;
15.04.2023 23:50;6.0;742.9;759.7;81;Ветер, дующий с западо-северо-запада;4;;;;Незначительная (10-30%) 960 м, разорванная (60-90%) 1080 м;10.0 и более;3.0;;;
15.04.2023 23:20;6.0;742.2;759.0;81;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1020 м, разорванная (60-90%) 1260 м;10.0 и более;3.0;;;
15.04.2023 22:50;6.0;742.2;759.0;81;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1020 м, рассеянная (40-50%) 1080 м, разорванная (60-90%) 1500 м;10.0 и более;3.0;;;
15.04.2023 22:20;5.0;742.1;759.0;87;Ветер, дующий с западо-северо-запада;2;;;;Незначительная (10-30%) 1080 м, разорванная (60-90%) 1260 м;10.0 и более;3.0;;;
15.04.2023 21:50;6.0;742.2;759.0;81;Ветер, дующий с западо-северо-запада;3;;;;Незначительная (10-30%) 900 м, рассеянная (40-50%) 1050 м;10.0 и более;3.0;;;
15.04.2023 21:20;6.0;742.2;759.0;81;Переменное направление;1;;;;Незначительная (10-30%) 600 м;10.0 и более;3.0;;;
15.04.2023 20:50;6.0;741.4;758.2;81;Ветер, дующий с западо-северо-запада;2;;;;Незначительная (10-30%) 570 м;10.0 и более;3.0;;;
15.04.2023 20:20;7.0;741.5;758.2;76;Ветер, дующий с западо-северо-запада;4;;;;Незначительная (10-30%) 600 м;10.0 и более;3.0;;;
15.04.2023 19:50;7.0;741.0;757.7;76;Ветер, дующий с западо-северо-запада;5;;;;Незначительная (10-30%) 600 м;10.0 и более;3.0;;;
15.04.2023 19:20;7.0;741.0;757.7;76;Ветер, дующий с западо-северо-запада;4;;;;Незначительная (10-30%) 600 м;10.0 и более;3.0;;;
15.04.2023 18:50;7.0;741.0;757.7;76;Ветер, дующий с запада;4;;;;Незначительная (10-30%) 600 м;10.0 и более;3.0;;;
